date,futures_price
2018-04-16,13203.099609375
2018-04-17,13162.2998046875
2018-04-18,13124.0
2018-04-19,13273.4501953125
2018-04-20,13910.349609375
2018-04-23,14013.9501953125
2018-04-24,13734.7998046875
2018-04-25,13892.400390625
2018-04-26,14026.650390625
2018-04-27,13794.900390625
2018-04-30,13986.25
2018-05-02,13754.2998046875
2018-05-03,13473.9501953125
2018-05-04,13453.2998046875
2018-05-07,13424.900390625
2018-05-08,13379.650390625
2018-05-09,13453.400390625
2018-05-10,13427.2998046875
2018-05-11,13478.599609375
2018-05-14,13446.150390625
2018-05-15,13504.9501953125
2018-05-16,13525.599609375
2018-05-17,13504.75
2018-05-18,13459.150390625
2018-05-21,13483.849609375
2018-05-22,13484.5498046875
2018-05-23,13464.349609375
2018-05-24,13775.7001953125
2018-05-25,13762.349609375
2018-05-28,13497.7001953125
2018-05-29,13561.0498046875
2018-05-30,13557.7001953125
2018-05-31,13666.0
2018-06-01,13558.5498046875
2018-06-04,13595.099609375
2018-06-05,13408.900390625
2018-06-06,13528.7998046875
2018-06-07,13683.75
2018-06-08,13769.7998046875
2018-06-11,13775.099609375
2018-06-12,13859.849609375
2018-06-13,14034.150390625
2018-06-14,13825.400390625
2018-06-15,14121.5
2018-06-18,14024.2001953125
2018-06-19,13849.4501953125
2018-06-20,13810.900390625
2018-06-21,13771.7001953125
2018-06-22,13777.099609375
2018-06-25,13865.2001953125
2018-06-26,13943.5
2018-06-27,14018.400390625
2018-06-28,13873.7998046875
2018-06-29,13989.5
2018-07-02,14072.2998046875
2018-07-03,14222.5498046875
2018-07-04,14126.150390625
2018-07-05,13970.5
2018-07-06,14015.9501953125
2018-07-09,14108.849609375
2018-07-10,14222.75
2018-07-11,14536.4501953125
2018-07-12,14515.650390625
2018-07-13,14534.900390625
2018-07-16,14617.0498046875
2018-07-17,14618.25
2018-07-18,14631.7001953125
2018-07-19,14489.849609375
2018-07-20,14701.400390625
2018-07-23,14683.2001953125
2018-07-24,14663.900390625
2018-07-25,14575.349609375
2018-07-26,14468.099609375
2018-07-27,14517.900390625
2018-07-30,14420.5498046875
2018-07-31,14587.7998046875
2018-08-01,14679.349609375
2018-08-02,14552.599609375
2018-08-03,14649.099609375
2018-08-06,14605.5498046875
2018-08-07,14613.75
2018-08-08,14608.2001953125
2018-08-09,14603.349609375
2018-08-10,14679.2998046875
2018-08-13,14880.25
2018-08-14,15009.25
2018-08-16,15044.349609375
2018-08-17,15126.400390625
2018-08-20,14996.099609375
2018-08-21,15134.650390625
2018-08-23,15321.9501953125
2018-08-24,15260.0498046875
2018-08-27,15514.9501953125
2018-08-28,15583.0498046875
2018-08-29,15524.9501953125
2018-08-30,15529.849609375
2018-08-31,15811.400390625
2018-09-03,15724.7001953125
2018-09-04,16048.7001953125
2018-09-05,16039.900390625
2018-09-06,16081.650390625
2018-09-07,16104.7998046875
2018-09-10,16105.2998046875
2018-09-11,15993.2001953125
2018-09-12,16054.0498046875
2018-09-14,16072.5
2018-09-17,16119.7998046875
2018-09-18,16031.0
2018-09-19,16063.9501953125
2018-09-21,15833.5
2018-09-24,16175.2998046875
2018-09-25,16234.900390625
2018-09-26,15932.4501953125
2018-09-27,16018.0
2018-09-28,15838.0498046875
2018-10-01,16213.599609375
2018-10-03,15909.7998046875
2018-10-04,15441.099609375
2018-10-05,15591.650390625
2018-10-08,15305.2001953125
2018-10-09,15369.7998046875
2018-10-10,15143.2001953125
2018-10-11,14683.0
2018-10-12,14539.2001953125
2018-10-15,14797.2001953125
2018-10-16,14887.349609375
2018-10-17,14949.599609375
2018-10-19,14476.849609375
2018-10-22,14421.4501953125
2018-10-23,14014.7001953125
2018-10-24,14049.150390625
2018-10-25,14070.7998046875
2018-10-26,13798.599609375
2018-10-29,14132.650390625
2018-10-30,14355.849609375
2018-10-31,14940.099609375
2018-11-01,14622.0
2018-11-02,14396.7001953125
2018-11-05,14471.75
2018-11-06,14577.2998046875
2018-11-07,14674.4501953125
2018-11-09,14553.25
2018-11-12,14650.5
2018-11-13,14698.2001953125
2018-11-14,14338.5
2018-11-15,14354.150390625
2018-11-16,14473.150390625
2018-11-19,14599.7998046875
2018-11-20,14285.099609375
2018-11-21,13879.150390625
2018-11-22,13835.7001953125
2018-11-26,14025.400390625
2018-11-27,14225.349609375
2018-11-28,14632.900390625
2018-11-29,14465.2998046875
2018-11-30,14638.0498046875
2018-12-03,14740.400390625
2018-12-04,14999.900390625
2018-12-05,15012.9501953125
2018-12-06,14693.75
2018-12-07,14662.900390625
2018-12-10,14419.2001953125
2018-12-11,14579.599609375
2018-12-12,14738.5498046875
2018-12-13,14841.0
2018-12-14,14851.400390625
2018-12-17,14873.0498046875
2018-12-18,14730.900390625
2018-12-19,14591.7998046875
2018-12-20,14542.150390625
2018-12-21,14207.849609375
2018-12-24,14247.75
2018-12-26,14158.900390625
2018-12-27,14354.5
2018-12-28,14385.7998046875
2018-12-31,14440.2998046875
2019-01-02,14447.099609375
2019-01-03,14322.150390625
2019-01-04,14146.150390625
2019-01-07,14291.5
2019-01-08,14285.7001953125
2019-01-09,14326.099609375
2019-01-10,14323.25
2019-01-11,14307.099609375
2019-01-14,14223.599609375
2019-01-15,14658.5
2019-01-16,14707.7998046875
2019-01-17,14800.25
